,Movie,Year,Male Protagonists,Male Cast,Male Death,Female Protagonists,Female Cast,Female Death,Black Protagonists,Black Cast,Black Death,Asian Cast,Asian Protagonists,Asian Death,Gender Villain,Villain Race
321,Hostel: Part III,2011,2,8.0,10,2,6.0,3,0.0,1.0,0.0,0.0,1.0,1.0,Both,Raceless
322,Cronos ,1993,2,5.0,10,1,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
323,The Blair Witch Project,1999,2,3.0,2,1,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Female,Raceless
324,The Toxic Avenger,1984,1,6.0,18,1,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
325,Talk to Me,2022,2,6.0,1,1,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,Both,Raceless
326,Dylan's New Nightmare,2023,2,5.0,1,1,5.0,2,0.0,0.0,0.0,1.0,0.0,0.0,Male,White
327,Terrifier 2,2022,1,6.0,15,2,5.0,12,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
328,Never Hike Alone 2,2023,2,6.0,7,1,3.0,5,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
329,Saw X,2023,2,8.0,2,1,3.0,2,0.0,1.0,0.0,0.0,0.0,0.0,Female,White
330,Ring [Ringu],1998,1,12.0,3,1,9.0,4,0.0,0.0,0.0,21.0,2.0,4.0,Female,Asian
331,Orphan: First Kill,2022,0,7.0,5,1,9.0,2,0.0,3.0,1.0,0.0,0.0,0.0,Female,White
332,Hell House LLC,2015,3,11.0,10,2,6.0,7,0.0,1.0,1.0,1.0,0.0,0.0,Genderless,Raceless
333,Evil Dead Rise,2023,1,10.0,7,2,8.0,5,0.0,1.0,1.0,2.0,0.0,0.0,Female,White
334,The Menu,2022,2,10.0,24,1,6.0,11,0.0,1.0,0.0,2.0,0.0,1.0,Male,White
335,Smile ,2022,1,7.0,2,1,8.0,3,0.0,1.0,1.0,1.0,0.0,0.0,Genderless,Raceless
336,Five Nights at Freddys,2023,1,8.0,5,1,3.0,3,0.0,1.0,1.0,1.0,0.0,0.0,Male,White
337,Nope,2022,2,7.0,37,1,5.0,24,2.0,3.0,0.0,2.0,1.0,1.0,Genderless,Raceless
338,M3GAN,2023,0,4.0,4,2,7.0,3,0.0,1.0,1.0,1.0,0.0,0.0,Female,White
339,Lisa Frankenstein,2024,1,4.0,2,1,4.0,3,0.0,0.0,0.0,1.0,0.0,0.0,Female,White
340,Totally Killer,2023,1,5.0,3,2,5.0,4,0.0,1.0,1.0,2.0,0.0,0.0,Male,White
341,Pearl ,2022,0,3.0,2,1,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,Female,White
342,Immaculate,2024,0,3.0,2,1,4.0,5,0.0,1.0,0.0,0.0,0.0,0.0,Male,White
343,Influencer ,2023,1,5.0,1,1,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Female,Asian
344,MaXXXine,2024,0,3.0,3,1,5.0,3,0.0,0.0,0.0,1.0,0.0,0.0,Female,White
